year_start,year_end,period_label,source_file,source_url,source_sheet,from_state,to_state,estimate,moe,estimate_raw,moe_raw
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Alabama,580353.0,22382.0,580353,22382
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Alaska,152.0,176.0,152,176
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Arizona,1427.0,784.0,1427,784
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Arkansas,1894.0,1228.0,1894,1228
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,California,4375.0,3603.0,4375,3603
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Colorado,1495.0,1016.0,1495,1016
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Connecticut,520.0,502.0,520,502
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Delaware,546.0,921.0,546,921
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,District of Columbia,0.0,286.0,0,286
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Florida,10559.0,2597.0,10559,2597
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Georgia,22111.0,5035.0,22111,5035
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Hawaii,1464.0,1370.0,1464,1370
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Idaho,185.0,212.0,185,212
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Illinois,1551.0,788.0,1551,788
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Indiana,664.0,505.0,664,505
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Iowa,343.0,402.0,343,402
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Kansas,1048.0,915.0,1048,915
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Kentucky,761.0,449.0,761,449
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Louisiana,2979.0,1858.0,2979,1858
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Maine,0.0,229.0,0,229
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Maryland,1808.0,1100.0,1808,1100
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Massachusetts,244.0,241.0,244,241
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Michigan,1317.0,848.0,1317,848
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Minnesota,423.0,352.0,423,352
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Mississippi,4830.0,1405.0,4830,1405
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Missouri,908.0,550.0,908,550
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Montana,299.0,410.0,299,410
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Nebraska,42.0,71.0,42,71
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Nevada,154.0,186.0,154,186
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,New Hampshire,27.0,46.0,27,46
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,New Jersey,367.0,369.0,367,369
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,New Mexico,593.0,817.0,593,817
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,New York,1486.0,780.0,1486,780
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,North Carolina,3858.0,1578.0,3858,1578
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,North Dakota,0.0,203.0,0,203
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Ohio,2469.0,1533.0,2469,1533
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Oklahoma,877.0,652.0,877,652
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Oregon,1223.0,1136.0,1223,1136
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Pennsylvania,950.0,567.0,950,567
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Puerto Rico,88.0,100.0,88,100
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Rhode Island,88.0,147.0,88,147
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,South Carolina,2254.0,1256.0,2254,1256
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,South Dakota,0.0,219.0,0,219
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Tennessee,8546.0,2232.0,8546,2232
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Texas,7042.0,2767.0,7042,2767
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Utah,0.0,258.0,0,258
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Vermont,0.0,211.0,0,211
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Virginia,2150.0,917.0,2150,917
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Washington,184.0,165.0,184,165
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,West Virginia,347.0,399.0,347,399
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Wisconsin,2275.0,2656.0,2275,2656
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alabama,Wyoming,268.0,274.0,268,274
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Alabama,608.0,432.0,608,432
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Alaska,84150.0,6528.0,84150,6528
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Arizona,1836.0,1443.0,1836,1443
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Arkansas,660.0,504.0,660,504
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,California,5274.0,1769.0,5274,1769
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Colorado,2392.0,1240.0,2392,1240
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Connecticut,310.0,320.0,310,320
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Delaware,337.0,381.0,337,381
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,District of Columbia,0.0,286.0,0,286
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Florida,2932.0,1390.0,2932,1390
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Georgia,2570.0,1265.0,2570,1265
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Hawaii,125.0,156.0,125,156
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Idaho,1650.0,970.0,1650,970
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Illinois,2879.0,2320.0,2879,2320
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Indiana,240.0,277.0,240,277
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Iowa,201.0,237.0,201,237
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Kansas,0.0,240.0,0,240
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Kentucky,261.0,315.0,261,315
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Louisiana,1500.0,1444.0,1500,1444
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Maine,284.0,461.0,284,461
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Maryland,445.0,427.0,445,427
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Massachusetts,642.0,708.0,642,708
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Michigan,1791.0,1138.0,1791,1138
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Minnesota,1329.0,1153.0,1329,1153
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Mississippi,374.0,353.0,374,353
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Missouri,350.0,384.0,350,384
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Montana,422.0,393.0,422,393
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Nebraska,91.0,155.0,91,155
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Nevada,818.0,838.0,818,838
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,New Hampshire,783.0,837.0,783,837
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,New Jersey,900.0,654.0,900,654
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,New Mexico,617.0,747.0,617,747
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,New York,654.0,518.0,654,518
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,North Carolina,854.0,551.0,854,551
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,North Dakota,70.0,76.0,70,76
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Ohio,212.0,160.0,212,160
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Oklahoma,360.0,311.0,360,311
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Oregon,2137.0,1000.0,2137,1000
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Pennsylvania,934.0,480.0,934,480
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Puerto Rico,0.0,280.0,0,280
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Rhode Island,87.0,146.0,87,146
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,South Carolina,203.0,202.0,203,202
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,South Dakota,303.0,372.0,303,372
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Tennessee,595.0,553.0,595,553
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Texas,3656.0,1868.0,3656,1868
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Utah,500.0,420.0,500,420
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Vermont,15.0,25.0,15,25
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Virginia,1911.0,1066.0,1911,1066
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Washington,7156.0,2267.0,7156,2267
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,West Virginia,1164.0,1367.0,1164,1367
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Wisconsin,136.0,137.0,136,137
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Alaska,Wyoming,146.0,210.0,146,210
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Alabama,574.0,542.0,574,542
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Alaska,883.0,530.0,883,530
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Arizona,917186.0,26917.0,917186,26917
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Arkansas,1266.0,617.0,1266,617
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,California,28156.0,4098.0,28156,4098
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Colorado,7018.0,1957.0,7018,1957
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Connecticut,49.0,82.0,49,82
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Delaware,216.0,254.0,216,254
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,District of Columbia,490.0,573.0,490,573
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Florida,5962.0,2466.0,5962,2466
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Georgia,3395.0,1828.0,3395,1828
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Hawaii,1409.0,1144.0,1409,1144
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Idaho,2259.0,943.0,2259,943
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Illinois,5050.0,1456.0,5050,1456
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Indiana,2393.0,927.0,2393,927
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Iowa,2010.0,850.0,2010,850
2005,2005,2005,state_to_state_migrations_table_2005.xls,https://www2.census.gov/programs-surveys/demo/tables/geographic-mobility/2005/state-to-state-migration/state_to_state_migrations_table_2005.xls,Table,Arizona,Kansas,2101.0,990.0,2101,990
